brand,product_name,shipping
GIGABYTE,GIGABYTE GeForce GTX 1060 DirectX 12 GV-N1060WF2OC-6GD 6GB 192-Bit GDDR5 PCI Express 3.0 x16 ATX Video Card,$4.99 Shipping
MSI,MSI GeForce GTX 1060 DirectX 12 GTX 1060 GAMING X 6G 6GB 192-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready ATX Video Card,Free Shipping
SanDisk,SanDisk 128GB Ultra microSDXC A1 UHS-I/U1 Class 10 Memory Card with Adapter| Speed Up to 100MB/s (SDSQUAR-128G-GN6MA),Free Shipping
SanDisk,SanDisk 32GB Ultra microSDHC A1 UHS-I/U1 Class 10 Memory Card with Adapter| Speed Up to 98MB/s (SDSQUAR-032G-GN6MA),Free Shipping
Sapphire Tech,SAPPHIRE NITRO+ Radeon RX 580 DirectX 12 100411NT+4G-2L 4GB 256-Bit GDDR5 CrossFireX Support ATX Video Card w/ Backplate (UEFI)| SAMSUNG MEMORY,$4.99 Shipping
Microsoft,Xbox Gift Card $100 US (Email Delivery),
ASUS,ASUS Prime Z370-A LGA 1151 (300 Series) Intel Z370 HDMI SATA 6Gb/s USB 3.1 ATX Intel Motherboard,Free Shipping
Google,Google Chromecast Streaming Media Player (2nd Gen) GA3A00093-A14Z01,$2.99 Shipping
PNY Technologies, Inc.,PNY Quadro P600 VCQP600-PB 2GB 128-bit GDDR5 PCI Express 3.0 x16 Low Profile Video Cards - Workstation,Free Shipping
AMD,AMD Radeon Vega Frontier Edition 100-506061 16GB 2048-bit HBM2 Video Cards - Workstation,$4.99 Shipping
NVIDIA,NVIDIA SHIELD TV | Streaming Media Player with Remote and Game Controller,Free Shipping
ARCTIC COOLING,ARCTIC Accelero Xtreme III VGA Cooler - nVidia & AMD| 3 Quiet 92mm PWM Fans| SLI/CrossFire,Free Shipping
ASRock,ASRock Fatal1ty AB350 Gaming-ITX/ac AM4 AMD Promontory B350 SATA 6Gb/s USB 3.1 HDMI Mini ITX AMD Motherboard,$6.80 Shipping
Rosewill,Rosewill RNX-AC1900PCE| Dual Band Wireless AC1900 Wi-Fi Adapter for Desktop| Up to 1300 Mbps (5.0 GHz) + 600 Mbps (2.4 GHz) Wireless Data Rates| PCI-Express Interface| 3 x External Antennas,Free Shipping
LaView USA,LaView Wi-Fi 1080P Video Doorbell Camera with On-Board Storage with Pre-Installed 16GB Micro SD| Motion Detection| Two-Way Audio| Night Vision| Free Apps and Remote View,Free Shipping
GIGABYTE,GIGABYTE Z370P D3 (rev. 1.0) LGA 1151 (300 Series) Intel Z370 HDMI SATA 6Gb/s USB 3.1 ATX Intel Motherboard,$2.99 Shipping
NVIDIA,NVIDIA SHIELD TV PRO | 500GB Streaming Media Player with Remote and Game Controller,Free Shipping
H&R Block,H&R BLOCK Tax Software Deluxe + State 2017,Free Shipping
ASUS,ASUS XG Station Pro Thunderbolt 3 eGPU Dock Model XG-STATION-PRO,$4.99 Shipping
Lenovo,Lenovo Laptop N23 (80UR001FUS) Intel Celeron N3060 (1.60 GHz) 4 GB Memory 32 GB eMMC SSD Intel HD Graphics 400 11.6" Windows 10 Pro 64-Bit - OEM,Free Shipping
Microsoft,Microsoft Surface Pro 4 Bundle DQQ-00001 Intel Core i5 6th Gen 6300U (2.40 GHz) 4 GB Memory 128 GB SSD 12.3" Touchscreen 2736 x 1824 Detachable 2-in-1 Laptop with Type Cover Windows 10 Pro 64-Bit,Free Shipping
Blackmagic Design Pty. Ltd.,Blackmagic Design DeckLink 4K Extreme 12G Capture & Playback Card BDLKHDEXTR4K12G,Free Shipping
HP,HP ZBook 15 G4 (1JD35UT#ABA) Mobile Workstation Intel Core i7 7th Gen 7820HQ (2.90 GHz) 16 GB Memory 512 GB SSD NVIDIA Quadro M2200 15.6" Windows 10 Pro 64-Bit,$2.99 Shipping
ILY,Express Series Black 1 to 7 Target CD/DVD Duplicator Model D07-ETNE,$15.39 Shipping
Adobe,Adobe Photoshop Elements & Premiere Elements 2018 for Windows - Download,
